 -0.895400            0.905377
 -0.870400            0.855455
 -0.845400            0.821793
 -0.820400            0.820408
 -0.795400            0.810644
 -0.770400            0.757282
 -0.745400            0.814583
 -0.720400            0.812632
 -0.695400            0.686653
 -0.670400            0.692653
 -0.645400            0.658925
 -0.620400            0.664027
 -0.595400            5.159036
 -0.570400            0.702213
 -0.545400            0.711320
 -0.520400            0.753984
 -0.495400            0.771179
 -0.470400            0.810687
 -0.445400            0.999718
 -0.420400            0.999718
 -0.395400            0.999718
 -0.370400            0.999718
 -0.345400            0.999718
 -0.320400            0.999718
 -0.295400            0.999718
 -0.270400            1.001307
 -0.245400            1.041010
 -0.220400            1.046921
 -0.195400            1.051667
 -0.170400            1.139809
 -0.145400            1.144573
 -0.120400            1.149711
 -0.095400            1.158118
 -0.070400            1.174634
 -0.045400            1.176645
 -0.020400            1.182911
  0.004600            1.189360
  0.029600            1.197800
  0.054600            1.206229
  0.079600            1.095028
